ID,Count
1,5
2,35
3,27
4,29
5,23
6,17
7,21
8,5
9,5
10,30
11,25
12,11
13,14
14,22
15,31
16,10
17,11
18,8
19,17
20,26
21,7
22,31
23,25
24,17
25,14
26,13
27,23
28,19
29,10
30,3
31,19
32,39
33,6
34,22
35,22
36,20
37,17
38,15
39,31
40,18
41,31
42,13
43,31
44,10
45,8
46,33
47,22
48,27
49,11
50,5
51,13
52,17
53,24
54,14
55,18
56,40
57,24
58,27
59,7
60,21
61,18
62,17
63,17
64,25
65,28
66,15
67,16
68,19
69,31
70,27
71,9
72,10
73,22
74,25
75,4
76,25
77,17
78,31
79,14
80,25
81,11
82,16
83,20
84,11
85,38
86,18
87,23
88,21
89,6
90,2
91,19
92,24
93,34
94,20
95,33
96,27
97,32
98,33
99,26
100,7
101,4
102,21
103,17
104,40
105,25
106,15
107,29
108,20
109,50
110,23
111,23
112,10
113,39
114,25
115,23
116,48
117,23
118,23
119,22
120,12
121,20
122,16
123,16
124,31
125,14
126,12
127,29
128,12
129,9
130,18
131,29
132,18
133,18
134,32
135,18
136,28
137,26
138,4
139,4
140,5
141,13
142,26
143,22
144,7
145,10
146,16
147,29
148,27
149,22
150,19
151,7
152,24
153,16
154,14
155,16
156,20
157,20
158,22
159,11
160,24
161,26
162,21
163,19
164,18
165,16
166,12
167,9
168,9
169,18
170,14
171,7
172,15
173,17
174,16
175,18
176,21
177,15
178,24
179,11
180,9
181,21
182,16
183,33
184,28
185,4
186,19
187,21
188,11
189,19
190,22
191,35
192,10
193,29
194,18
195,32
196,41
197,57
198,53
199,8
200,19
201,7
202,27
203,26
204,13
205,27
206,10
207,25
208,23
209,20
210,22
211,15
212,19
213,27
214,34
215,34
216,20
217,13
218,29
219,9
220,28
221,36
222,20
223,30
224,14
225,9
226,42
227,25
228,21
229,18
230,12
231,16
232,36
233,3
234,23
235,16
236,8
237,6
238,25
239,6
240,32
241,50
242,3
243,9
244,18
245,10
246,13
247,43
248,29
249,25
250,26
251,27
252,23
253,21
254,19
255,28
256,31
