[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.02408806749211	
L1 norm of params:	1435783.0404951	
Epoch 1 Validation accuracy:	0.61397638990046	
L1 norm of params:	1779854.9443439	
Epoch 2 Validation accuracy:	0.61975752609857	
L1 norm of params:	2025556.3462852	
Epoch 3 Validation accuracy:	0.62377852634135	
L1 norm of params:	2240256.1044088	
Epoch 4 Validation accuracy:	0.62613043214372	
L1 norm of params:	2437428.6984411	
Epoch 5 Validation accuracy:	0.62888443797038	
L1 norm of params:	2622824.4609769	
Epoch 6 Validation accuracy:	0.63072802864773	
L1 norm of params:	2799062.3771016	
Epoch 7 Validation accuracy:	0.63197984947803	
L1 norm of params:	2968189.8718708	
Epoch 8 Validation accuracy:	0.63282957028405	
L1 norm of params:	3131605.3885094	
Epoch 9 Validation accuracy:	0.63311786841466	
L1 norm of params:	3290489.9798231	
Epoch 10 Validation accuracy:	0.63399034959942	
L1 norm of params:	3445547.7845097	
Epoch 11 Validation accuracy:	0.63513595532896	
L1 norm of params:	3597523.9136618	
Epoch 12 Validation accuracy:	0.63578083272639	
L1 norm of params:	3746620.0077127	
Epoch 13 Validation accuracy:	0.63622086671522	
L1 norm of params:	3892936.3051928	
Epoch 14 Validation accuracy:	0.63528769118718	
L1 norm of params:	4036781.9049874	
Epoch 15 Validation accuracy:	0.63591739499879	
L1 norm of params:	4178565.0424476	
