[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.021159565428502	
L1 norm of params:	4308166.265819	
Epoch 1 Validation accuracy:	0.82793912357368	
L1 norm of params:	4873761.6530356	
Epoch 2 Validation accuracy:	0.83376578052925	
L1 norm of params:	5197692.4045053	
Epoch 3 Validation accuracy:	0.83498725418791	
L1 norm of params:	5475273.7563252	
Epoch 4 Validation accuracy:	0.83578386744355	
L1 norm of params:	5725661.8513728	
Epoch 5 Validation accuracy:	0.83591284292304	
L1 norm of params:	5956379.0318616	
Epoch 6 Validation accuracy:	0.83624666181112	
L1 norm of params:	6172657.8448693	
Epoch 7 Validation accuracy:	0.83677015052197	
L1 norm of params:	6376948.5525528	
Epoch 8 Validation accuracy:	0.83712672978878	
L1 norm of params:	6571822.497619	
Epoch 9 Validation accuracy:	0.83716466375334	
L1 norm of params:	6757888.7737227	
Epoch 10 Validation accuracy:	0.83784747511532	
L1 norm of params:	6936969.8410834	
Epoch 11 Validation accuracy:	0.83812059966011	
L1 norm of params:	7109677.330599	
Epoch 12 Validation accuracy:	0.8385302864773	
L1 norm of params:	7276869.2112166	
Epoch 13 Validation accuracy:	0.83865167516387	
L1 norm of params:	7439108.3668683	
Epoch 14 Validation accuracy:	0.83873512988589	
L1 norm of params:	7596752.4493942	
Epoch 15 Validation accuracy:	0.83887169215829	
L1 norm of params:	7750140.3982183	
Epoch 16 Validation accuracy:	0.83905377518815	
L1 norm of params:	7899870.2446603	
Epoch 17 Validation accuracy:	0.83917516387473	
L1 norm of params:	8046739.9406377	
Epoch 18 Validation accuracy:	0.83931172614712	
L1 norm of params:	8190711.2080324	
Epoch 19 Validation accuracy:	0.839577263899	
L1 norm of params:	8331846.0107064	
