[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.024573622238407	
L1 norm of params:	1437427.980256	
Epoch 1 Validation accuracy:	0.66542243262928	
L1 norm of params:	1813877.2742339	
Epoch 2 Validation accuracy:	0.67278920854576	
L1 norm of params:	2052085.9350923	
Epoch 3 Validation accuracy:	0.67367686331634	
L1 norm of params:	2248338.7675055	
Epoch 4 Validation accuracy:	0.67498179169701	
L1 norm of params:	2423887.9529332	
Epoch 5 Validation accuracy:	0.67360858218014	
L1 norm of params:	2586244.6215952	
Epoch 6 Validation accuracy:	0.67498937848992	
L1 norm of params:	2739706.356685	
Epoch 7 Validation accuracy:	0.67388170672493	
L1 norm of params:	2887020.6364194	
Epoch 8 Validation accuracy:	0.67454175770818	
L1 norm of params:	3028790.8947476	
Epoch 9 Validation accuracy:	0.6749059237679	
L1 norm of params:	3166105.4651663	
Epoch 10 Validation accuracy:	0.67448106336489	
L1 norm of params:	3299075.0871157	
Epoch 11 Validation accuracy:	0.6751107671765	
L1 norm of params:	3429226.1206461	
Epoch 12 Validation accuracy:	0.67393481427531	
L1 norm of params:	3556580.6975838	
Epoch 13 Validation accuracy:	0.67511835396941	
L1 norm of params:	3681053.7145343	
Epoch 14 Validation accuracy:	0.6754597596504	
L1 norm of params:	3803222.4767081	
Epoch 15 Validation accuracy:	0.67454175770818	
L1 norm of params:	3923141.6108036	
Epoch 16 Validation accuracy:	0.67424587278466	
L1 norm of params:	4041668.9923982	
Epoch 17 Validation accuracy:	0.67376790483127	
L1 norm of params:	4158299.306852	
Epoch 18 Validation accuracy:	0.67388170672493	
L1 norm of params:	4273180.5217654	
Epoch 19 Validation accuracy:	0.6736465161447	
L1 norm of params:	4386184.2820669	
Epoch 20 Validation accuracy:	0.67442036902161	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.67442036902161	
