[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.021796856033018	
L1 norm of params:	1436561.0178961	
Epoch 1 Validation accuracy:	0.63845897062394	
L1 norm of params:	1769233.3734062	
Epoch 2 Validation accuracy:	0.64196406894877	
L1 norm of params:	1988672.6930657	
Epoch 3 Validation accuracy:	0.64474842194707	
L1 norm of params:	2181154.2669374	
Epoch 4 Validation accuracy:	0.6469258315125	
L1 norm of params:	2357791.6639505	
Epoch 5 Validation accuracy:	0.64788176741928	
L1 norm of params:	2523376.1601186	
Epoch 6 Validation accuracy:	0.64884529011896	
L1 norm of params:	2680829.5784889	
Epoch 7 Validation accuracy:	0.64884529011896	
L1 norm of params:	2831831.2619717	
Epoch 8 Validation accuracy:	0.64885287691187	
L1 norm of params:	2977837.1097109	
Epoch 9 Validation accuracy:	0.64957362223841	
L1 norm of params:	3119194.7500135	
Epoch 10 Validation accuracy:	0.64974053168245	
L1 norm of params:	3256897.1479715	
Epoch 11 Validation accuracy:	0.65046127700898	
L1 norm of params:	3391545.613288	
Epoch 12 Validation accuracy:	0.65020332605001	
L1 norm of params:	3523272.6831099	
Epoch 13 Validation accuracy:	0.65085579024035	
L1 norm of params:	3652298.6357335	
Epoch 14 Validation accuracy:	0.65147790725904	
L1 norm of params:	3779296.0979071	
Epoch 15 Validation accuracy:	0.65162964311726	
L1 norm of params:	3904231.9045453	
Epoch 16 Validation accuracy:	0.65153101480942	
L1 norm of params:	4027485.2410891	
Epoch 17 Validation accuracy:	0.65149308084487	
L1 norm of params:	4149374.4875536	
Epoch 18 Validation accuracy:	0.65210002427774	
L1 norm of params:	4269603.1676635	
Epoch 19 Validation accuracy:	0.65217589220685	
L1 norm of params:	4388454.571612	
Epoch 20 Validation accuracy:	0.6521455450352	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.6521455450352	
