[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.019589099295946	
L1 norm of params:	1436948.6246408	
Epoch 1 Validation accuracy:	0.66343469288662	
L1 norm of params:	1816247.9905047	
Epoch 2 Validation accuracy:	0.67251608400097	
L1 norm of params:	2055029.0783124	
Epoch 3 Validation accuracy:	0.67287266326778	
L1 norm of params:	2251581.6153187	
Epoch 4 Validation accuracy:	0.67244780286477	
L1 norm of params:	2427856.327863	
Epoch 5 Validation accuracy:	0.67328993687788	
L1 norm of params:	2591352.1498642	
Epoch 6 Validation accuracy:	0.67422311240592	
L1 norm of params:	2745182.1056797	
Epoch 7 Validation accuracy:	0.67363134255887	
L1 norm of params:	2893148.6369277	
Epoch 8 Validation accuracy:	0.67363892935178	
L1 norm of params:	3035306.3664476	
Epoch 9 Validation accuracy:	0.67358582180141	
L1 norm of params:	3172815.7846179	
Epoch 10 Validation accuracy:	0.67356306142268	
L1 norm of params:	3305889.1246469	
Epoch 11 Validation accuracy:	0.67396516144695	
L1 norm of params:	3435266.8792304	
Epoch 12 Validation accuracy:	0.67428380674921	
L1 norm of params:	3561566.2432443	
Epoch 13 Validation accuracy:	0.67421552561301	
L1 norm of params:	3685646.9315589	
Epoch 14 Validation accuracy:	0.67431415392085	
L1 norm of params:	3807908.2171054	
Epoch 15 Validation accuracy:	0.67435967467832	
L1 norm of params:	3927724.3155434	
Epoch 16 Validation accuracy:	0.67442795581452	
L1 norm of params:	4045542.6274991	
Epoch 17 Validation accuracy:	0.67416241806264	
L1 norm of params:	4161643.3826287	
Epoch 18 Validation accuracy:	0.67356306142268	
L1 norm of params:	4276051.0972048	
Epoch 19 Validation accuracy:	0.6738589463462	
L1 norm of params:	4389541.5786745	
Epoch 20 Validation accuracy:	0.67383618596747	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.67383618596747	
