[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.027805596018451	
L1 norm of params:	1437277.9411391	
Epoch 1 Validation accuracy:	0.66520241563486	
L1 norm of params:	1813719.4465644	
Epoch 2 Validation accuracy:	0.67159808205875	
L1 norm of params:	2052527.5675656	
Epoch 3 Validation accuracy:	0.6728119689245	
L1 norm of params:	2248108.9268045	
Epoch 4 Validation accuracy:	0.67166636319495	
L1 norm of params:	2423800.7459884	
Epoch 5 Validation accuracy:	0.67300922554018	
L1 norm of params:	2586403.7532467	
Epoch 6 Validation accuracy:	0.67338856518572	
L1 norm of params:	2740294.3634233	
Epoch 7 Validation accuracy:	0.67340373877155	
L1 norm of params:	2887536.4121573	
Epoch 8 Validation accuracy:	0.67262229910172	
L1 norm of params:	3029660.7675423	
Epoch 9 Validation accuracy:	0.67391964068949	
L1 norm of params:	3167157.1598286	
Epoch 10 Validation accuracy:	0.67354030104394	
L1 norm of params:	3300517.0670014	
Epoch 11 Validation accuracy:	0.67314578781258	
L1 norm of params:	3430586.9042365	
Epoch 12 Validation accuracy:	0.67352512745812	
L1 norm of params:	3557708.5568032	
Epoch 13 Validation accuracy:	0.67379066521	
L1 norm of params:	3682127.0875664	
Epoch 14 Validation accuracy:	0.6742762199563	
L1 norm of params:	3804629.9340335	
Epoch 15 Validation accuracy:	0.67286507647487	
L1 norm of params:	3924578.6096497	
Epoch 16 Validation accuracy:	0.67317613498422	
L1 norm of params:	4042498.0886331	
Epoch 17 Validation accuracy:	0.67378307841709	
L1 norm of params:	4158729.1406442	
Epoch 18 Validation accuracy:	0.67369203690216	
L1 norm of params:	4273382.9813503	
Epoch 19 Validation accuracy:	0.67424587278466	
L1 norm of params:	4386505.9015569	
Epoch 20 Validation accuracy:	0.67354788783685	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.67354788783685	
