[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.027729728089342	
L1 norm of params:	4306734.5485253	
Epoch 1 Validation accuracy:	0.80127154649187	
L1 norm of params:	4885598.0141857	
Epoch 2 Validation accuracy:	0.80571740713765	
L1 norm of params:	5264763.2798666	
Epoch 3 Validation accuracy:	0.80800861859675	
L1 norm of params:	5589200.2631403	
Epoch 4 Validation accuracy:	0.81000394513231	
L1 norm of params:	5879869.8904286	
Epoch 5 Validation accuracy:	0.81165786598689	
L1 norm of params:	6147607.4081823	
Epoch 6 Validation accuracy:	0.81307659626123	
L1 norm of params:	6398162.6454343	
Epoch 7 Validation accuracy:	0.81380492838067	
L1 norm of params:	6634562.0911534	
Epoch 8 Validation accuracy:	0.81529193979121	
L1 norm of params:	6859287.0349715	
Epoch 9 Validation accuracy:	0.81542850206361	
L1 norm of params:	7073880.3978446	
Epoch 10 Validation accuracy:	0.81584577567371	
L1 norm of params:	7280396.4485583	
Epoch 11 Validation accuracy:	0.81696103423161	
L1 norm of params:	7479586.4517761	
Epoch 12 Validation accuracy:	0.81765901917941	
L1 norm of params:	7672966.0579442	
Epoch 13 Validation accuracy:	0.81786386258801	
L1 norm of params:	7860717.7968217	
Epoch 14 Validation accuracy:	0.8186225418791	
L1 norm of params:	8043446.1658589	
