[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.021121631463948	
L1 norm of params:	1437227.1414622	
Epoch 1 Validation accuracy:	0.61417364651614	
L1 norm of params:	1782381.7024301	
Epoch 2 Validation accuracy:	0.61946164117504	
L1 norm of params:	2028990.3125699	
Epoch 3 Validation accuracy:	0.62331573197378	
L1 norm of params:	2244033.3785506	
Epoch 4 Validation accuracy:	0.62689669822773	
L1 norm of params:	2440857.8415563	
Epoch 5 Validation accuracy:	0.62811817188638	
L1 norm of params:	2625878.3628721	
Epoch 6 Validation accuracy:	0.63040179655256	
L1 norm of params:	2801618.6463923	
Epoch 7 Validation accuracy:	0.63060663996116	
L1 norm of params:	2970491.8346872	
Epoch 8 Validation accuracy:	0.63212399854334	
L1 norm of params:	3133677.7045173	
Epoch 9 Validation accuracy:	0.63322408351542	
L1 norm of params:	3292320.3374267	
Epoch 10 Validation accuracy:	0.63440003641661	
L1 norm of params:	3446983.3335664	
Epoch 11 Validation accuracy:	0.63494628550619	
L1 norm of params:	3598250.9225148	
Epoch 12 Validation accuracy:	0.63572772517601	
L1 norm of params:	3746522.1860514	
Epoch 13 Validation accuracy:	0.63591739499879	
L1 norm of params:	3892322.6485358	
Epoch 14 Validation accuracy:	0.63650916484584	
L1 norm of params:	4035859.9060605	
Epoch 15 Validation accuracy:	0.63686574411265	
L1 norm of params:	4177486.6881341	
Epoch 16 Validation accuracy:	0.63663814032532	
L1 norm of params:	4316901.9048462	
Epoch 17 Validation accuracy:	0.63710093469289	
L1 norm of params:	4454546.1487792	
Epoch 18 Validation accuracy:	0.63695678562758	
L1 norm of params:	4590210.6067711	
