[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.0001	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.015393602816218	
L1 norm of params:	4309519.3768666	
Epoch 1 Validation accuracy:	0.80079357853848	
L1 norm of params:	4886939.7331125	
Epoch 2 Validation accuracy:	0.80646849963583	
L1 norm of params:	5265691.8014239	
Epoch 3 Validation accuracy:	0.80777342801651	
L1 norm of params:	5589737.9101019	
Epoch 4 Validation accuracy:	0.80989773003156	
L1 norm of params:	5880207.8535584	
Epoch 5 Validation accuracy:	0.81109644331148	
L1 norm of params:	6147794.6417348	
Epoch 6 Validation accuracy:	0.81215859431901	
L1 norm of params:	6398043.2680915	
Epoch 7 Validation accuracy:	0.81356215100753	
L1 norm of params:	6634123.0674273	
Epoch 8 Validation accuracy:	0.81470775673707	
L1 norm of params:	6858233.0145416	
Epoch 9 Validation accuracy:	0.8152160718621	
L1 norm of params:	7072493.0048811	
Epoch 10 Validation accuracy:	0.81573197378004	
L1 norm of params:	7279036.60006	
Epoch 11 Validation accuracy:	0.81717346443311	
L1 norm of params:	7478344.7464701	
Epoch 12 Validation accuracy:	0.81762867200777	
L1 norm of params:	7671521.9769766	
Epoch 13 Validation accuracy:	0.81794731731003	
L1 norm of params:	7858999.4306842	
Epoch 14 Validation accuracy:	0.81857702112163	
L1 norm of params:	8041342.0579001	
