[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.050239742655984	
L1 norm of params:	1436444.4759114	
Epoch 1 Validation accuracy:	0.66369264384559	
L1 norm of params:	1813977.8826929	
Epoch 2 Validation accuracy:	0.67163601602331	
L1 norm of params:	2051866.6890379	
Epoch 3 Validation accuracy:	0.67406378975479	
L1 norm of params:	2246719.260671	
Epoch 4 Validation accuracy:	0.67369962369507	
L1 norm of params:	2421390.4737402	
Epoch 5 Validation accuracy:	0.67407896334062	
L1 norm of params:	2583432.6346102	
Epoch 6 Validation accuracy:	0.67353271425103	
L1 norm of params:	2736679.2061432	
Epoch 7 Validation accuracy:	0.67371479728089	
L1 norm of params:	2883670.2902261	
Epoch 8 Validation accuracy:	0.6736465161447	
L1 norm of params:	3025366.0699562	
Epoch 9 Validation accuracy:	0.67400309541151	
L1 norm of params:	3162421.0356974	
Epoch 10 Validation accuracy:	0.67375273124545	
L1 norm of params:	3296011.9357004	
Epoch 11 Validation accuracy:	0.67396516144695	
L1 norm of params:	3426147.6450645	
Epoch 12 Validation accuracy:	0.67388929351784	
L1 norm of params:	3553571.735147	
Epoch 13 Validation accuracy:	0.67419276523428	
L1 norm of params:	3678179.5253872	
Epoch 14 Validation accuracy:	0.67377549162418	
L1 norm of params:	3800609.3751156	
Epoch 15 Validation accuracy:	0.67388170672493	
L1 norm of params:	3920689.5472411	
Epoch 16 Validation accuracy:	0.67402585579024	
L1 norm of params:	4038737.5625599	
Epoch 17 Validation accuracy:	0.6735099538723	
L1 norm of params:	4155217.5629918	
Epoch 18 Validation accuracy:	0.67404102937606	
L1 norm of params:	4270334.7090825	
Epoch 19 Validation accuracy:	0.67385135955329	
L1 norm of params:	4383192.6460434	
Epoch 20 Validation accuracy:	0.6739272274824	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.6739272274824	
