[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.023238346686089	
L1 norm of params:	1436599.7125691	
Epoch 1 Validation accuracy:	0.6393390386016	
L1 norm of params:	1768679.3252598	
Epoch 2 Validation accuracy:	0.64250273124545	
L1 norm of params:	1987588.9973674	
Epoch 3 Validation accuracy:	0.64396698227725	
L1 norm of params:	2180490.7927401	
Epoch 4 Validation accuracy:	0.64487739742656	
L1 norm of params:	2357050.8330253	
Epoch 5 Validation accuracy:	0.64807902403496	
L1 norm of params:	2522339.4207135	
Epoch 6 Validation accuracy:	0.64801832969167	
L1 norm of params:	2679362.3042267	
Epoch 7 Validation accuracy:	0.64840525613013	
L1 norm of params:	2830156.8256007	
Epoch 8 Validation accuracy:	0.64826869385773	
L1 norm of params:	2975964.1011029	
Epoch 9 Validation accuracy:	0.65073440155378	
L1 norm of params:	3117109.9164957	
Epoch 10 Validation accuracy:	0.65049921097354	
L1 norm of params:	3254515.3883406	
Epoch 11 Validation accuracy:	0.65147790725904	
L1 norm of params:	3388947.1754305	
Epoch 12 Validation accuracy:	0.65134134498665	
L1 norm of params:	3520512.5778677	
Epoch 13 Validation accuracy:	0.65128065064336	
L1 norm of params:	3649535.2739689	
Epoch 14 Validation accuracy:	0.65126547705754	
L1 norm of params:	3776566.5995398	
Epoch 15 Validation accuracy:	0.65160688273853	
L1 norm of params:	3901877.4564849	
Epoch 16 Validation accuracy:	0.65145514688031	
L1 norm of params:	4024864.2719592	
Epoch 17 Validation accuracy:	0.65172068463219	
L1 norm of params:	4145977.4786409	
Epoch 18 Validation accuracy:	0.651310997815	
L1 norm of params:	4265823.1172465	
Epoch 19 Validation accuracy:	0.65159170915271	
L1 norm of params:	4384316.7177308	
Epoch 20 Validation accuracy:	0.65234280165089	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.65234280165089	
