[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.1	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.030840313182811	
L1 norm of params:	1437086.4653753	
Epoch 1 Validation accuracy:	0.66310846079145	
L1 norm of params:	1815312.1499634	
Epoch 2 Validation accuracy:	0.67055110463705	
L1 norm of params:	2053040.939599	
Epoch 3 Validation accuracy:	0.67461003884438	
L1 norm of params:	2250028.4633047	
Epoch 4 Validation accuracy:	0.67336580480699	
L1 norm of params:	2426944.907399	
Epoch 5 Validation accuracy:	0.67369962369507	
L1 norm of params:	2589874.0197801	
Epoch 6 Validation accuracy:	0.67332787084244	
L1 norm of params:	2744408.5152479	
Epoch 7 Validation accuracy:	0.67378307841709	
L1 norm of params:	2891838.5924775	
Epoch 8 Validation accuracy:	0.67294094440398	
L1 norm of params:	3034215.6555279	
Epoch 9 Validation accuracy:	0.6738589463462	
L1 norm of params:	3172235.5292821	
Epoch 10 Validation accuracy:	0.67366927652343	
L1 norm of params:	3305824.2787913	
Epoch 11 Validation accuracy:	0.67473901432386	
L1 norm of params:	3436400.8607487	
Epoch 12 Validation accuracy:	0.67424587278466	
L1 norm of params:	3564216.9254712	
Epoch 13 Validation accuracy:	0.67530802379218	
L1 norm of params:	3689190.0541183	
Epoch 14 Validation accuracy:	0.674556931294	
L1 norm of params:	3812036.665034	
Epoch 15 Validation accuracy:	0.67470866715222	
L1 norm of params:	3932593.9783632	
Epoch 16 Validation accuracy:	0.6744127822287	
L1 norm of params:	4051057.7590683	
Epoch 17 Validation accuracy:	0.67423069919883	
L1 norm of params:	4167971.7897137	
Epoch 18 Validation accuracy:	0.67405620296188	
L1 norm of params:	4283151.1109244	
Epoch 19 Validation accuracy:	0.67400309541151	
L1 norm of params:	4396893.197457	
Epoch 20 Validation accuracy:	0.67423828599175	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.1	Minibatch size:	2000	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.67423828599175	
