[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.030028526341345	
L1 norm of params:	1436366.0617013	
Epoch 1 Validation accuracy:	0.61361981063365	
L1 norm of params:	1780320.5712357	
Epoch 2 Validation accuracy:	0.6206148336975	
L1 norm of params:	2026647.0250108	
Epoch 3 Validation accuracy:	0.62426408108764	
L1 norm of params:	2241953.800502	
Epoch 4 Validation accuracy:	0.62648701141054	
L1 norm of params:	2439586.7673792	
Epoch 5 Validation accuracy:	0.62845199077446	
L1 norm of params:	2624934.9104023	
Epoch 6 Validation accuracy:	0.63104667394999	
L1 norm of params:	2801376.5664782	
Epoch 7 Validation accuracy:	0.63164603058995	
L1 norm of params:	2970296.7017681	
Epoch 8 Validation accuracy:	0.63214675892207	
L1 norm of params:	3133657.7461056	
Epoch 9 Validation accuracy:	0.63340616654528	
L1 norm of params:	3292046.8569531	
Epoch 10 Validation accuracy:	0.6339068948774	
L1 norm of params:	3446414.4045064	
Epoch 11 Validation accuracy:	0.63487041757708	
L1 norm of params:	3597591.2974177	
Epoch 12 Validation accuracy:	0.63499939305657	
L1 norm of params:	3745684.8699617	
Epoch 13 Validation accuracy:	0.63545460063122	
L1 norm of params:	3891399.1272745	
Epoch 14 Validation accuracy:	0.63668366108279	
L1 norm of params:	4034332.9620321	
Epoch 15 Validation accuracy:	0.63614499878611	
L1 norm of params:	4175262.7234525	
Epoch 16 Validation accuracy:	0.63612223840738	
L1 norm of params:	4314155.2559994	
Epoch 17 Validation accuracy:	0.63653192522457	
L1 norm of params:	4451299.7210134	
Epoch 18 Validation accuracy:	0.6366229667395	
L1 norm of params:	4586866.5344212	
Epoch 19 Validation accuracy:	0.6369036780772	
L1 norm of params:	4721007.0299718	
Epoch 20 Validation accuracy:	0.63810239135713	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.001	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.63810239135713	
