[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.1	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.026348931779558	
L1 norm of params:	1435805.4821983	
Epoch 1 Validation accuracy:	0.61391569555717	
L1 norm of params:	1780757.1877385	
Epoch 2 Validation accuracy:	0.61996995630007	
L1 norm of params:	2027463.4812825	
Epoch 3 Validation accuracy:	0.6240288905074	
L1 norm of params:	2242557.2715027	
Epoch 4 Validation accuracy:	0.62659322651129	
L1 norm of params:	2439409.4935028	
Epoch 5 Validation accuracy:	0.62894513231367	
L1 norm of params:	2624008.1931101	
Epoch 6 Validation accuracy:	0.62990106822044	
L1 norm of params:	2799969.5152292	
Epoch 7 Validation accuracy:	0.63182811361981	
L1 norm of params:	2968796.8407674	
Epoch 8 Validation accuracy:	0.6324502306385	
L1 norm of params:	3131787.5065056	
Epoch 9 Validation accuracy:	0.63304958727847	
L1 norm of params:	3290413.6392825	
Epoch 10 Validation accuracy:	0.63373239864045	
L1 norm of params:	3445001.4194413	
Epoch 11 Validation accuracy:	0.63496145909201	
L1 norm of params:	3596544.3050103	
Epoch 12 Validation accuracy:	0.63513595532896	
L1 norm of params:	3745317.0775646	
Epoch 13 Validation accuracy:	0.63644847050255	
L1 norm of params:	3891676.2641806	
Epoch 14 Validation accuracy:	0.63607671764992	
L1 norm of params:	4035849.8899019	
Epoch 15 Validation accuracy:	0.63606154406409	
L1 norm of params:	4177784.9385926	
Epoch 16 Validation accuracy:	0.63614499878611	
L1 norm of params:	4317563.7768079	
Epoch 17 Validation accuracy:	0.63625121388687	
L1 norm of params:	4455570.639261	
Epoch 18 Validation accuracy:	0.63712369507162	
L1 norm of params:	4591860.6925286	
Epoch 19 Validation accuracy:	0.63731336489439	
L1 norm of params:	4726636.4277382	
Epoch 20 Validation accuracy:	0.63740440640932	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.1	Minibatch size:	250	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.63740440640932	
