[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.1	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.01558327263899	
L1 norm of params:	1436701.5884657	
Epoch 1 Validation accuracy:	0.63774581209031	
L1 norm of params:	1765949.848877	
Epoch 2 Validation accuracy:	0.64458151250303	
L1 norm of params:	1985673.7575362	
Epoch 3 Validation accuracy:	0.64634923525127	
L1 norm of params:	2177515.0232762	
Epoch 4 Validation accuracy:	0.64562090313183	
L1 norm of params:	2354041.9313493	
Epoch 5 Validation accuracy:	0.64719136926438	
L1 norm of params:	2520033.723844	
Epoch 6 Validation accuracy:	0.64841284292304	
L1 norm of params:	2677709.1550617	
Epoch 7 Validation accuracy:	0.64853423160961	
L1 norm of params:	2828621.6982137	
Epoch 8 Validation accuracy:	0.64939912600146	
L1 norm of params:	2974035.3324719	
Epoch 9 Validation accuracy:	0.65015780529255	
L1 norm of params:	3115300.1423816	
Epoch 10 Validation accuracy:	0.65041575625152	
L1 norm of params:	3252859.1441546	
Epoch 11 Validation accuracy:	0.65099993930566	
L1 norm of params:	3387384.6819668	
Epoch 12 Validation accuracy:	0.65081026948288	
L1 norm of params:	3519169.1885558	
Epoch 13 Validation accuracy:	0.65142479970867	
L1 norm of params:	3648583.5798159	
Epoch 14 Validation accuracy:	0.65071922796795	
L1 norm of params:	3775603.8565351	
Epoch 15 Validation accuracy:	0.6517282714251	
L1 norm of params:	3900685.1148755	
Epoch 16 Validation accuracy:	0.65141721291576	
L1 norm of params:	4023817.6149562	
Epoch 17 Validation accuracy:	0.65120478271425	
L1 norm of params:	4145182.1646669	
Epoch 18 Validation accuracy:	0.65150825443069	
L1 norm of params:	4265037.7452002	
Epoch 19 Validation accuracy:	0.6527676620539	
L1 norm of params:	4383759.7271386	
Epoch 20 Validation accuracy:	0.65336701869386	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.1	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.65336701869386	
