[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making lr model	
Set up model	
Got params and grads	
Starting Validation accuracy	0.022221716436028	
L1 norm of params:	1437093.8929684	
Epoch 1 Validation accuracy:	0.63862588006798	
L1 norm of params:	1767746.8182932	
Epoch 2 Validation accuracy:	0.64328417091527	
L1 norm of params:	1987638.0497906	
Epoch 3 Validation accuracy:	0.64477118232581	
L1 norm of params:	2179493.1232608	
Epoch 4 Validation accuracy:	0.64669822772518	
L1 norm of params:	2355152.4816275	
Epoch 5 Validation accuracy:	0.64688789754795	
L1 norm of params:	2520220.0746749	
Epoch 6 Validation accuracy:	0.64772244476815	
L1 norm of params:	2677153.4194835	
Epoch 7 Validation accuracy:	0.64809419762078	
L1 norm of params:	2827719.7793349	
Epoch 8 Validation accuracy:	0.64870872784656	
L1 norm of params:	2973304.4684769	
Epoch 9 Validation accuracy:	0.65036264870114	
L1 norm of params:	3114529.9477989	
Epoch 10 Validation accuracy:	0.65059025248847	
L1 norm of params:	3252032.7686409	
Epoch 11 Validation accuracy:	0.65060542607429	
L1 norm of params:	3386595.6484018	
Epoch 12 Validation accuracy:	0.65084061665453	
L1 norm of params:	3518663.0282972	
Epoch 13 Validation accuracy:	0.65115167516387	
L1 norm of params:	3647939.2719797	
Epoch 14 Validation accuracy:	0.65119719592134	
L1 norm of params:	3775130.6632171	
Epoch 15 Validation accuracy:	0.65201656955572	
L1 norm of params:	3899930.0978243	
Epoch 16 Validation accuracy:	0.65176620538966	
L1 norm of params:	4022980.006264	
Epoch 17 Validation accuracy:	0.65220623937849	
L1 norm of params:	4144510.9618306	
Epoch 18 Validation accuracy:	0.65125030347172	
L1 norm of params:	4264543.15003	
Epoch 19 Validation accuracy:	0.651310997815	
L1 norm of params:	4383368.2592968	
Epoch 20 Validation accuracy:	0.6521455450352	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	lr	Alpha:	0	Eta:	0.1	Lambda:	0.01	Minibatch size:	500	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.6521455450352	
